Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
5128,66,3.0,76.99803337561625,49.2076523980588,8.0,3,5.0,1961,0.161975568,B,A,31,7010,5,4508.0,3,7,B
16392,35,1.0,45.1286127346463,,1.0,7,18.0,2014,0.089039719,B,B,33,7976,5,,0,11,B
13101,23,1.0,47.27296844237241,,1.0,3,17.0,1977,0.014072961,B,B,2,475,0,,0,0,B
11259,6,1.0,47.873731370491896,,1.0,12,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2560,8,2.0,47.48838447068682,28.89649296876303,6.0,5,5.0,1963,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4089,6,3.0,103.92229104008298,,0.0,23,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
5165,58,2.0,62.445718433214594,32.875829609809124,12.0,6,9.0,1970,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
14291,27,2.0,65.65985093990662,33.48381106685745,12.0,19,17.0,2014,0.072157581,B,B,2,629,1,,0,0,A
11509,23,1.0,41.84121953760976,,0.0,26,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
4284,171,2.0,48.93911849223606,32.35727383423777,6.0,7,9.0,1968,0.019508796,B,B,37,7687,11,176.0,5,5,B
7165,31,2.0,47.89551283249981,27.49388148414318,5.0,4,5.0,1965,0.151346216,B,A,32,5889,10,830.0,4,1,B
4222,55,2.0,57.33727924597143,36.6787410818435,9.0,16,17.0,1998,0.041365446,B,B,31,5569,0,,1,4,B
16465,6,3.0,81.44277073218662,47.85063307035739,12.0,13,17.0,2013,0.243204519,B,B,5,1564,0,540.0,0,0,B
2853,100,3.0,54.36480078436078,39.79244310252296,5.0,4,5.0,1961,0.049863387,B,B,18,3746,9,75.0,3,1,B
11500,54,3.0,119.32063060724892,118.66721021762872,1.0,8,7.0,2015,0.006076152,B,B,30,5285,0,645.0,6,6,B
2272,58,1.0,50.97547353847676,43.04682641413224,12.0,7,9.0,2015,0.43788524,B,B,23,5735,3,1084.0,0,5,B
12847,12,1.0,41.468786096390005,20.77192063030818,7.0,12,17.0,1986,0.090799103,B,B,74,19083,2,,5,15,B
5181,27,2.0,61.55017045470249,58.22555732937045,7.0,5,14.0,2015,0.017647053,B,B,2,469,0,,0,0,B
13945,1,3.0,74.9742546317069,,1.0,9,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
6209,9,2.0,43.86079994680626,29.22862523799203,5.0,3,5.0,1971,0.161531741,B,B,25,5648,1,30.0,2,4,B
1233,21,1.0,47.24328058323152,24.035784870435005,8.0,5,14.0,1992,0.194489265,B,B,47,8004,3,125.0,3,5,B
7121,47,1.0,43.57518435677597,20.50939374295272,8.0,6,12.0,1977,0.101872465,B,B,23,4583,3,,3,3,B
7617,85,3.0,76.358007358408,47.49542170308635,10.0,4,16.0,1979,0.037177818,B,B,52,11217,1,2300.0,1,7,B
11222,6,3.0,81.11603548749538,,1.0,5,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
16182,18,3.0,80.78475292627712,52.12130941476329,8.0,4,8.0,1985,0.0,B,B,30,5562,0,,0,5,A
14629,22,1.0,41.10851083432255,,1.0,4,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
5700,53,2.0,47.66330901281744,29.86718314954031,6.0,7,9.0,1975,0.049637257,B,B,34,7759,0,229.0,1,3,B
8664,1,2.0,55.955065651859805,33.82573800842777,9.0,4,17.0,1989,0.025609157,B,B,33,5261,0,240.0,3,1,B
12275,8,3.0,78.58179203999306,43.98394635479697,10.0,7,14.0,2010,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13952,57,2.0,47.98509372326831,28.684639849068045,5.0,2,5.0,1972,0.133215333,B,B,49,11395,3,1406.0,3,4,A
14289,26,2.0,48.64270027367563,30.79597599339624,5.0,2,5.0,1968,0.0,B,B,36,6714,2,2672.0,0,2,B
2444,27,2.0,83.06079587516129,87.19113350190938,10.0,4,6.0,2014,0.07542368,B,B,11,3097,0,,0,0,B
2798,27,1.0,30.161022425479494,16.787412908779043,6.0,4,5.0,1974,0.211401214,B,B,9,1892,0,,0,1,B
9844,58,2.0,62.62665480931243,62.51783476469416,0.0,11,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13689,9,2.0,65.96413520103987,,1.0,7,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
6428,9,1.0,43.03726374343479,3.0131655899767686,1.0,3,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
13407,59,2.0,77.0574758899314,70.45403907368741,16.0,12,11.0,2020,0.019508796,B,B,37,7687,11,176.0,5,5,B
15306,1,2.0,54.29392516937747,,0.0,3,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
14363,88,1.0,45.72606462864954,,0.0,4,0.0,1977,0.127375905,B,B,43,8429,3,,3,9,B
3801,78,3.0,84.2392213788685,55.41358040794088,10.0,6,14.0,2001,0.092290642,B,B,21,4346,2,165.0,1,2,B
4618,6,1.0,46.184474153932754,,1.0,2,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
889,27,3.0,86.35754615589289,1.3075258216002177,1.0,10,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2809,1,2.0,66.7013765066363,,1.0,18,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
7990,161,3.0,78.68451988651363,47.87612552609425,10.0,18,17.0,1995,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
10483,34,4.0,95.86585245523588,,1.0,2,1.0,1977,0.069753361,B,B,53,13670,4,,1,11,B
16087,112,1.0,41.71971466497575,17.787884344924354,8.0,19,18.0,2008,0.069660344,B,B,31,6119,4,,1,2,B
9532,6,2.0,56.57433934445738,35.941645933173795,8.0,13,16.0,1980,0.243204519,B,B,5,1564,0,540.0,0,0,B
2024,27,3.0,108.65046454756737,,1.0,4,6.0,1977,0.07542368,B,B,11,3097,0,,0,0,B
3440,37,2.0,47.69532720632525,28.723563290020746,5.0,5,5.0,1964,0.178916796,B,B,18,3594,4,192.0,1,5,B
1151,8,1.0,39.18209489085093,23.06441972380837,8.0,3,17.0,1994,0.219006007,B,B,28,6746,3,,1,4,B
7725,3,2.0,41.160202564792186,25.778366903345283,6.0,4,14.0,1971,0.050900058,B,B,43,10621,1,30.0,2,3,B
7720,48,1.0,35.169287312875106,18.08548178041801,6.0,3,9.0,1981,0.041124634,B,B,46,9515,5,,1,10,B
15231,6,2.0,58.04727935600923,61.15701422914432,0.0,6,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
16335,100,2.0,44.45974833505619,28.224575835913026,5.0,8,9.0,1968,0.200146802,B,B,23,3975,8,770.0,2,0,B
5038,58,2.0,53.19004149713789,10.816032672663471,9.0,15,14.0,2005,0.050755569,B,B,24,5469,1,145.0,0,1,B
10106,46,1.0,40.21102816035786,22.73256113370068,10.0,7,22.0,1991,0.188783766,B,B,31,6137,4,,0,1,B
13019,61,3.0,80.24691727918831,44.63365268207421,9.0,9,22.0,1997,0.300322518,B,B,52,10311,6,,1,9,B
13535,30,2.0,64.30827482030163,,1.0,2,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
12659,1,3.0,79.14588775543575,,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
5446,1,2.0,55.76885902226305,,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
14405,49,2.0,40.072640287664335,25.84823010416485,7.0,4,12.0,1969,0.020741326,B,B,24,5613,5,1340.0,2,5,B
12116,88,3.0,89.5495587186537,,0.0,20,0.0,1977,0.127375905,B,B,43,8429,3,,3,9,B
13249,59,3.0,110.2037442973761,4.461720777008472,1.0,6,1.0,1977,0.019508796,B,B,37,7687,11,176.0,5,5,B
7664,6,2.0,61.38585485200062,61.57963442092511,1.0,11,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
5302,29,1.0,34.32560526521368,21.182294669017125,5.0,4,5.0,1963,0.069660344,B,B,31,6119,4,,1,2,B
1124,7,3.0,65.12647573915594,42.26511518775183,8.0,9,12.0,1985,0.035145267,B,B,42,9292,3,2620.0,0,3,B
15401,13,2.0,51.39579121978623,32.650826018825995,8.0,6,17.0,2001,0.090799103,B,B,74,19083,2,,5,15,B
2114,53,2.0,64.77394897758238,60.86110626424346,8.0,14,17.0,2018,0.049637257,B,B,34,7759,0,229.0,1,3,B
6464,47,3.0,78.2328066471888,48.90598838547124,10.0,16,16.0,1981,0.101872465,B,B,23,4583,3,,3,3,B
3184,130,2.0,43.67920285966481,26.449554113111247,6.0,7,16.0,1968,0.21843974,B,B,21,4472,6,1450.0,4,7,A
15988,1,1.0,36.07386562951889,,1.0,15,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
12474,9,3.0,46.40513565540877,25.35351024967065,5.0,6,9.0,1975,0.13012277,B,B,8,1986,0,,0,0,B
5126,64,3.0,69.13093951777222,45.00084095493787,1.0,3,9.0,1970,0.135649789,B,B,46,7960,6,350.0,3,11,B
5169,23,1.0,48.9084624617809,24.033376497729712,10.0,6,9.0,2016,0.014072961,B,B,2,475,0,,0,0,B
7184,185,2.0,54.49277755096296,30.40022695400813,9.0,17,17.0,2004,0.025609157,B,B,33,5261,0,240.0,3,1,B
3346,75,1.0,29.58353963020132,17.26320620470885,5.0,5,5.0,1960,0.122090347,B,B,29,6566,7,1894.0,4,0,B
626,11,2.0,53.72282669118084,35.66254221087418,6.0,3,9.0,1973,0.0001696759999999,B,B,36,5992,0,,1,1,B
11086,21,2.0,42.70799497329023,29.035438476677943,5.0,9,8.0,1964,0.149666373,B,B,22,4789,2,4087.0,4,1,B
16307,126,2.0,56.1172559943762,35.995019792810176,7.0,5,5.0,1959,0.333891544,B,B,30,6564,1,,0,0,B
7724,23,2.0,62.935159018263896,62.031825742544136,1.0,24,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1839,13,3.0,74.56481549177167,43.0006479231948,9.0,11,17.0,2001,0.090799103,B,B,74,19083,2,,5,15,B
1152,21,2.0,53.4167118983648,30.84538872997398,9.0,9,14.0,2006,0.034331497,B,B,25,5487,3,,0,4,B
349,34,3.0,88.13665051058642,85.27098850930966,10.0,12,25.0,2016,0.069753361,B,B,53,13670,4,,1,11,B
16151,119,1.0,35.00861243160698,22.13775952474837,5.0,2,9.0,1965,0.033493708,B,B,66,10573,1,1322.0,3,8,B
11291,6,2.0,53.60679427325993,1.3204392917261951,1.0,15,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
8958,90,2.0,47.8387153232521,33.36032165299808,5.0,5,5.0,1967,0.265088676,B,B,37,5288,0,1937.0,3,2,B
15344,10,2.0,44.10875803924271,29.6100160852583,5.0,8,9.0,1972,0.282797669,B,B,33,8667,2,,0,6,B
11650,9,3.0,82.55532158508764,47.2817089291425,8.0,14,14.0,1992,0.161531741,B,B,25,5648,1,30.0,2,4,B
723,100,1.0,38.86982104868467,21.59814257129316,7.0,8,8.0,1965,0.200146802,B,B,23,3975,8,770.0,2,0,B
6376,2,1.0,42.37619755741403,23.71370076499829,9.0,9,14.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
7649,30,2.0,54.10198716813146,29.903354304528506,7.0,4,4.0,1952,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
7114,89,3.0,63.10634336972989,48.632745646578535,6.0,11,9.0,1970,0.151346216,B,A,32,5889,10,830.0,4,1,B
9214,41,3.0,64.03553229634291,43.44466553890496,8.0,7,9.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
6153,27,1.0,44.322596900625896,21.685315409633603,12.0,2,14.0,2007,0.07542368,B,B,11,3097,0,,0,0,B
14449,25,1.0,32.93847268320188,32.57110520192509,7.0,15,17.0,2016,0.069753361,B,B,53,13670,4,,1,11,B
12512,27,1.0,40.95067261511347,,0.0,2,0.0,1977,0.017647053,B,B,2,469,0,,0,0,B
3906,30,1.0,43.901344559400655,,1.0,12,12.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
6672,10,2.0,48.43686052302616,33.961521717752646,7.0,4,12.0,1974,0.089039719,B,B,33,7976,5,,0,11,B
3885,74,2.0,78.96900311399234,,1.0,10,1.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
12041,27,1.0,45.10934585879581,38.51001691777524,11.0,13,0.0,1977,0.017647053,B,B,2,469,0,,0,0,B
1851,27,2.0,57.34598067743663,54.71613731895439,0.0,9,9.0,1977,0.011654127,B,B,4,915,0,,0,0,B
6909,1,2.0,64.18365185808982,,1.0,15,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
555,7,4.0,74.9597581751952,74.03072342454782,6.0,5,16.0,1972,0.130617806,B,B,39,10418,9,900.0,1,9,B
15616,57,2.0,44.57156699149846,28.179405087333407,5.0,3,9.0,1971,0.133215333,B,B,49,11395,3,1406.0,3,4,A
10979,62,2.0,73.18062145426948,72.30984659763331,1.0,13,11.0,1977,0.072157581,B,B,2,629,1,,0,0,A
6991,58,1.0,107.36470060481405,,1.0,4,2.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
9405,6,1.0,41.22510698800132,,1.0,25,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
13107,5,3.0,61.1866008540353,44.568950109018594,5.0,14,12.0,1973,0.150817539,B,B,16,3433,4,2643.0,4,5,B
437,58,1.0,37.67117141993681,20.517963185359136,9.0,9,12.0,1965,0.050755569,B,B,24,5469,1,145.0,0,1,B
9028,27,2.0,75.55422113414335,2.4563916740950456,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
9782,42,1.0,40.66522387307374,22.59318824860577,7.0,8,17.0,2006,0.158249043,B,B,21,5731,0,,1,0,B
10159,27,2.0,76.3360898661184,,1.0,7,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1397,76,3.0,221.13876811375545,118.05534163943344,4.0,32,48.0,2011,0.0,B,B,7,1660,39,1786.0,1,5,B
12879,23,2.0,64.05254615915153,,1.0,12,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
16397,85,1.0,32.00181186691317,22.93639253697083,6.0,9,9.0,1977,0.037177818,B,B,52,11217,1,2300.0,1,7,B
1709,66,3.0,78.1708635749995,55.812838634290685,8.0,2,5.0,1959,0.111627393,B,B,50,12238,8,1970.0,2,3,B
5296,52,1.0,44.44221774929364,44.63460803234074,0.0,5,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
903,15,2.0,64.71893532395197,32.09149416776168,2.0,6,14.0,2009,0.158249043,B,B,21,5731,0,,1,0,B
4498,95,2.0,56.2490326650036,32.214625292245,10.0,14,16.0,1975,0.341071945,B,B,27,5664,48,2300.0,3,11,B
11838,0,1.0,41.38516689233557,17.441228719064224,8.0,14,17.0,2011,0.006076152,B,B,30,5285,0,645.0,6,6,B
15536,124,3.0,66.6230786819703,43.41045910470692,9.0,4,12.0,1974,0.16909109,B,B,19,3856,10,,2,5,B
6967,55,4.0,69.45455575350437,48.63075818741613,5.0,5,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
